GTFS route_id,GTFS direction_id,Year,Day Type,Boardings
1,1,Weekday,FY2018,5812.1
4,1,Weekday,FY2018,193.6
5,1,Weekday,FY2018,57.9
7,1,Weekday,FY2018,2409
8,1,Weekday,FY2018,1407
9,1,Weekday,FY2018,3250.5
10,1,Weekday,FY2018,1423
11,1,Weekday,FY2018,1982.8
14,1,Weekday,FY2018,642.7
15,1,Weekday,FY2018,3023.2
16,1,Weekday,FY2018,2517.6
17,1,Weekday,FY2018,1585.1
18,1,Weekday,FY2018,193.4
19,1,Weekday,FY2018,1507.7
21,1,Weekday,FY2018,2165.7
22,1,Weekday,FY2018,3987.9
23,1,Weekday,FY2018,5872.2
24,1,Weekday,FY2018,712.4
26,1,Weekday,FY2018,1090.1
27,1,Weekday,FY2018,429.6
28,1,Weekday,FY2018,6388.6
29,1,Weekday,FY2018,1103.7
30,1,Weekday,FY2018,1130.5
31,1,Weekday,FY2018,2990.1
32,1,Weekday,FY2018,5130
33,1,Weekday,FY2018,660.8
34,1,Weekday,FY2018,1528.1
34E,1,Weekday,FY2018,1598.8
35,1,Weekday,FY2018,984.4
36,1,Weekday,FY2018,1456.3
37,1,Weekday,FY2018,672.9
38,1,Weekday,FY2018,406.9
39,1,Weekday,FY2018,5990.2
40,1,Weekday,FY2018,711.2
41,1,Weekday,FY2018,1036.6
42,1,Weekday,FY2018,1244.8
43,1,Weekday,FY2018,553.6
44,1,Weekday,FY2018,1792
45,1,Weekday,FY2018,1617.4
47,1,Weekday,FY2018,2342.5
50,1,Weekday,FY2018,652.1
51,1,Weekday,FY2018,858.1
52,1,Weekday,FY2018,287.8
55,1,Weekday,FY2018,358.6
57,1,Weekday,FY2018,4291.6
57A,1,Weekday,FY2018,930
59,1,Weekday,FY2018,558.7
60,1,Weekday,FY2018,577.3
62,1,Weekday,FY2018,685.3
64,1,Weekday,FY2018,1072.6
65,1,Weekday,FY2018,1275.4
66,1,Weekday,FY2018,5992.3
67,1,Weekday,FY2018,323
68,1,Weekday,FY2018,208.4
69,1,Weekday,FY2018,1293.8
70,1,Weekday,FY2018,2273.5
70A,1,Weekday,FY2018,699.2
71,1,Weekday,FY2018,2495
72,1,Weekday,FY2018,521.6
73,1,Weekday,FY2018,2990.5
74,1,Weekday,FY2018,391.5
75,1,Weekday,FY2018,272.4
76,1,Weekday,FY2018,454.7
77,1,Weekday,FY2018,3430
78,1,Weekday,FY2018,690.5
79,1,Weekday,FY2018,528.7
80,1,Weekday,FY2018,1129.7
83,1,Weekday,FY2018,801.6
84,1,Weekday,FY2018,222.5
85,1,Weekday,FY2018,360.5
86,1,Weekday,FY2018,3043.4
87,1,Weekday,FY2018,1838.3
88,1,Weekday,FY2018,2020.5
89,1,Weekday,FY2018,1761.9
90,1,Weekday,FY2018,510
91,1,Weekday,FY2018,859.8
92,1,Weekday,FY2018,487.3
93,1,Weekday,FY2018,2158.1
94,1,Weekday,FY2018,828.7
95,1,Weekday,FY2018,765.9
96,1,Weekday,FY2018,1009.5
97,1,Weekday,FY2018,459
99,1,Weekday,FY2018,656.2
100,1,Weekday,FY2018,374.5
101,1,Weekday,FY2018,2259.9
104,1,Weekday,FY2018,2051.9
105,1,Weekday,FY2018,579.8
106,1,Weekday,FY2018,1425.4
108,1,Weekday,FY2018,1498
109,1,Weekday,FY2018,1591.6
110,1,Weekday,FY2018,1827.6
111,1,Weekday,FY2018,5953.5
112,1,Weekday,FY2018,629.8
114,1,Weekday,FY2018,229.7
116,1,Weekday,FY2018,3167.3
117,1,Weekday,FY2018,2730.3
119,1,Weekday,FY2018,815.1
120,1,Weekday,FY2018,1320.3
121,1,Weekday,FY2018,231.8
131,1,Weekday,FY2018,323.5
132,1,Weekday,FY2018,543
134,1,Weekday,FY2018,992.3
136,1,Weekday,FY2018,589.4
137,1,Weekday,FY2018,423.3
170,1,Weekday,FY2018,55.5
171,1,Weekday,FY2018,0
195,1,Weekday,FY2018,15.9
201,1,Weekday,FY2018,228.6
202,1,Weekday,FY2018,222.4
210,1,Weekday,FY2018,310.2
211,1,Weekday,FY2018,356.4
212,1,Weekday,FY2018,113.5
214,1,Weekday,FY2018,515.3
215,1,Weekday,FY2018,892.1
216,1,Weekday,FY2018,475.2
217,1,Weekday,FY2018,98
220,1,Weekday,FY2018,824.1
221,1,Weekday,FY2018,65
222,1,Weekday,FY2018,697
225,1,Weekday,FY2018,1438.6
230,1,Weekday,FY2018,803.6
236,1,Weekday,FY2018,248.8
238,1,Weekday,FY2018,881.2
240,1,Weekday,FY2018,1312
245,1,Weekday,FY2018,243.8
325,1,Weekday,FY2018,179.8
326,1,Weekday,FY2018,284.9
350,1,Weekday,FY2018,848.3
351,1,Weekday,FY2018,77.7
352,1,Weekday,FY2018,186.7
