GTFS sto_id,Stop Name,Year,Day Type,Boardings,Alightings,,,,,,,,,,,,
82,MASSACHUSETTS AVE @ HUNTINGTO,FY2017,Weekday,178,226,,,,,,,,,,,,
83,MASSACHUSETTS AVE @ COLUMBUS,FY2017,Weekday,37,41,,,,,,,,,,,,
84,MASSACHUSETTS AVE @ TREMONT S,FY2017,Weekday,51,135,,,,,,,,,,,,
87,MASSACHUSETTS AVE @ TREMONT S,FY2017,Weekday,155,50,,,,,,,,,,,,
88,MASSACHUSETTS AVE @ COLUMBUS,FY2017,Weekday,83,41,,,,,,,,,,,,
89,MASSACHUSETTS AVE @ ST BOTOLP,FY2017,Weekday,337,145,,,,,,,,,,,,
91,MASSACHUSETTS AVE @ CLEARWAY,FY2017,Weekday,217,141,,,,,,,,,,,,
93,MASSACHUSETTS AVE @ NEWBURY S,FY2017,Weekday,"1,121",502,,,,,,,,,,,,
95,MASSACHUSETTS AVE @ BEACON ST,FY2017,Weekday,206,34,,,,,,,,,,,,
96,MASSACHUSETTS AVE @ MEMORIAL,FY2017,Weekday,19,106,,,,,,,,,,,,
97,77 MASSACHUSETTS AVE,FY2017,Weekday,262,337,,,,,,,,,,,,
99,MASSACHUSETTS AVE @ ALBANY ST,FY2017,Weekday,95,212,,,,,,,,,,,,
101,MASSACHUSETTS AVE @ SIDNEY ST,FY2017,Weekday,96,370,,,,,,,,,,,,
102,MASSACHUSETTS AVE @ PROSPECT,FY2017,Weekday,265,814,,,,,,,,,,,,
104,MASSACHUSETTS AVE @ BIGELOW S,FY2017,Weekday,87,106,,,,,,,,,,,,
106,MASSACHUSETTS AVE @ HANCOCK S,FY2017,Weekday,31,143,,,,,,,,,,,,
107,MASSACHUSETTS AVE @ DANA ST,FY2017,Weekday,33,248,,,,,,,,,,,,
108,MASSACHUSETTS AVE @ TROWBRIDG,FY2017,Weekday,23,263,,,,,,,,,,,,
109,MASSACHUSETTS AVE @ BOW ST,FY2017,Weekday,3,190,,,,,,,,,,,,
110,MASSACHUSETTS AVE @ HOLYOKE S,FY2017,Weekday,753,"1,844",,,,,,,,,,,,
111,MT VERNON ST @ SOUTH POINT DR,FY2017,Weekday,151,4,,,,,,,,,,,,
113,CAUSEWAY ST @ CANAL ST,FY2017,Weekday,3,60,,,,,,,,,,,,
114,CAUSEWAY ST. @ NORTH STATION,FY2017,Weekday,126,10,,,,,,,,,,,,
117,CONGRESS ST @ HAYMARKET STA,FY2017,Weekday,"1,199",317,,,,,,,,,,,,
120,RIVERMOOR ST @ INDUSTRIAL PAR,FY2017,Weekday,3,1,,,,,,,,,,,,
121,COLUMBIA RD @ JFK@UMASS STATI,FY2017,Weekday,522,608,,,,,,,,,,,,
122,COLUMBIA RD @ DORCHESTER AVE,FY2017,Weekday,28,5,,,,,,,,,,,,
123,COLUMBIA RD OPP POND ST,FY2017,Weekday,57,15,,,,,,,,,,,,
124,MASSACHUSETTS AVE @ COLUMBIA,FY2017,Weekday,52,31,,,,,,,,,,,,
125,MASSACHUSETTS AVE @ CLAPP ST,FY2017,Weekday,1,1,,,,,,,,,,,,
126,MASSACHUSETTS AVE @ ALLSTATE,FY2017,Weekday,4,42,,,,,,,,,,,,
128,1010 MASSACHUSETTS AVE OPP MA,FY2017,Weekday,144,83,,,,,,,,,,,,
129,RIVERMOOR ST @ CHARLES PARK R,FY2017,Weekday,1, -   ,,,,,,,,,,,,
131,MASSACHUSETTS AVE @ SHIRLEY S,FY2017,Weekday,11,33,,,,,,,,,,,,
133,MASSACHUSETTS AVE OPP CLAPP S,FY2017,Weekday,1,1,,,,,,,,,,,,
134,MASSACHUSETTS AVE @ COLUMBIA,FY2017,Weekday,45,67,,,,,,,,,,,,
135,COLUMBIA RD @ POND ST,FY2017,Weekday,11,46,,,,,,,,,,,,
136,COLUMBIA RD @ DORCHESTER AVE,FY2017,Weekday,6,39,,,,,,,,,,,,
137,CHARLES PARK RD @ RIVERMOOR S,FY2017,Weekday,2,24,,,,,,,,,,,,
138,MT VERNON ST @ BAY SIDE EXPO,FY2017,Weekday,8,11,,,,,,,,,,,,
139,263 MT VERNON ST @ ST CHRISTO,FY2017,Weekday,10,81,,,,,,,,,,,,
140,MT VERNON ST @ PAUL A. DEVER,FY2017,Weekday,0,78,,,,,,,,,,,,
141,ALEWIFE STATION BUSWAY,FY2017,Weekday,"2,353","2,578",,,,,,,,,,,,
142,MT VERNON ST @ SOUTH POINT DR,FY2017,Weekday,2,155,,,,,,,,,,,,
143,BOYLSTON ST @ CLARENDON ST,FY2017,Weekday,194,147,,,,,,,,,,,,
144,BOYLSTON ST @ BERKELEY ST,FY2017,Weekday,125,24,,,,,,,,,,,,
145,ARLINGTON ST @ SAINT JAMES AV,FY2017,Weekday,175,7,,,,,,,,,,,,
146,ARLINGTON ST @ ISABELLA ST,FY2017,Weekday,52,8,,,,,,,,,,,,
147,HERALD ST @ TREMONT ST,FY2017,Weekday,66,22,,,,,,,,,,,,
148,HERALD ST @ WASHINGTON ST,FY2017,Weekday,107,48,,,,,,,,,,,,
150,BROADWAY STATION - RED LINE,FY2017,Weekday,"1,032","1,768",,,,,,,,,,,,
151,W BROADWAY @ BROADWAY STATION,FY2017,Weekday,"1,250",322,,,,,,,,,,,,
152,W BROADWAY @ A ST,FY2017,Weekday,69,21,,,,,,,,,,,,
153,W BROADWAY @ B ST,FY2017,Weekday,49,52,,,,,,,,,,,,
154,W BROADWAY @ D ST,FY2017,Weekday, -   ,0,,,,,,,,,,,,
155,W BROADWAY @ E ST,FY2017,Weekday,33,176,,,,,,,,,,,,
156,W BROADWAY @ F ST,FY2017,Weekday,23,224,,,,,,,,,,,,
157,W BROADWAY @ DORCHESTER ST,FY2017,Weekday,36,235,,,,,,,,,,,,
158,442 W BROADWAY,FY2017,Weekday,227,31,,,,,,,,,,,,
159,W BROADWAY @ F ST,FY2017,Weekday,159,15,,,,,,,,,,,,
160,W BROADWAY @ E ST,FY2017,Weekday,113,10,,,,,,,,,,,,
161,W BROADWAY @ D ST,FY2017,Weekday,127,21,,,,,,,,,,,,
162,W BROADWAY @ C ST,FY2017,Weekday,35,11,,,,,,,,,,,,
163,W BROADWAY @ B ST,FY2017,Weekday,27,34,,,,,,,,,,,,
168,TREMONT ST @ APPLETON ST,FY2017,Weekday,38,34,,,,,,,,,,,,
171,BERKELEY ST @ COLUMBUS AVE,FY2017,Weekday,25,305,,,,,,,,,,,,
173,SAINT JAMES AVE @ CLARENDON S,FY2017,Weekday,98,340,,,,,,,,,,,,
174,RING RD @ BOYLSTON ST,FY2017,Weekday,48,82,,,,,,,,,,,,
175,BOYLSTON ST @ DARTMOUTH ST,FY2017,Weekday,769,643,,,,,,,,,,,,
176,DARTMOUTH ST OPP BACK BAY STA,FY2017,Weekday,260,25,,,,,,,,,,,,
177,SAINT JAMES AVE @ ARLINGTON S,FY2017,Weekday,7,3,,,,,,,,,,,,
178,SAINT JAMES AVE @ DARTMOUTH S,FY2017,Weekday,"1,397","1,399",,,,,,,,,,,,
179,RING RD @ HUNTINGTON AVE,FY2017,Weekday,109,302,,,,,,,,,,,,
180,BAY ST @ AUCKLAND ST,FY2017,Weekday,1,7,,,,,,,,,,,,
185,MATTAPAN STATION - NORTH BUSW,FY2017,Weekday,998,"1,170",,,,,,,,,,,,
187,MASSACHUSETTS AVE @ MASSACHUS,FY2017,Weekday,899,381,,,,,,,,,,,,
188,MASSACHUSETTS AVE @ MASSACHUS,FY2017,Weekday,448,819,,,,,,,,,,,,
190,CONGRESS ST @ STATE ST,FY2017,Weekday,177,29,,,,,,,,,,,,
191,CONGRESS ST @ NORTH ST,FY2017,Weekday,76,250,,,,,,,,,,,,
208,SUMMER ST @ POWERHOUSE ST,FY2017,Weekday,8,97,,,,,,,,,,,,
210,SUMMER ST @ DRY DOCK AVE,FY2017,Weekday,47,17,,,,,,,,,,,,
212,SUMMER ST @ D ST,FY2017,Weekday,65,28,,,,,,,,,,,,
214,SEAPORT BLVD @ WORLD TRADE CE,FY2017,Weekday,11,1,,,,,,,,,,,,
215,NORTHERN AVE OPP FEDERAL COUR,FY2017,Weekday, -   ,23,,,,,,,,,,,,
218,CONGRESS ST @ SLEEPER ST,FY2017,Weekday,0,12,,,,,,,,,,,,
221,ATLANTIC AVE. @ CONGRESS ST.,FY2017,Weekday,10,27,,,,,,,,,,,,
222,ATLANTIC AVE @ SEAPORT BLVD.,FY2017,Weekday,1, -   ,,,,,,,,,,,,
223,ATLANTIC AVE @ ROWES WHARF,FY2017,Weekday, -   , -   ,,,,,,,,,,,,
