Stop #,Stop Name,Year,Day Type,Boardings,Alightings
113,PORTLAND ST @ CAUSEWAY ST,FY2018,Weekday,2,38
114,CAUSEWAY ST @ NORTH STATION,FY2018,Weekday,116,12
115,NORTHERN AVE @ FEDERAL COURTH,FY2018,Weekday,20,2
117,CONGRESS ST @ HAYMARKET STA,FY2018,Weekday,"1,372",234
118,CAUSEWAY ST @ MEDFORD ST,FY2018,Weekday,2, -   
120,RIVERMOOR ST @ INDUSTRIAL PAR,FY2018,Weekday,1,1
121,COLUMBIA RD @ JFK@UMASS STATI,FY2018,Weekday,517,592
122,COLUMBIA RD @ DORCHESTER AVE,FY2018,Weekday,31,4
123,COLUMBIA RD OPP POND ST,FY2018,Weekday,50,12
124,MASSACHUSETTS AVE @ COLUMBIA,FY2018,Weekday,58,27
125,MASSACHUSETTS AVE @ CLAPP ST,FY2018,Weekday,0, -   
126,MASSACHUSETTS AVE @ ALLSTATE,FY2018,Weekday,5,43
128,1010 MASSACHUSETTS AVE OPP MA,FY2018,Weekday,156,86
129,RIVERMOOR ST @ CHARLES PARK R,FY2018,Weekday,2, -   
131,MASSACHUSETTS AVE @ SHIRLEY S,FY2018,Weekday,8,30
133,MASSACHUSETTS AVE OPP CLAPP S,FY2018,Weekday,1,1
134,MASSACHUSETTS AVE @ COLUMBIA,FY2018,Weekday,50,67
135,COLUMBIA RD @ POND ST,FY2018,Weekday,14,50
136,COLUMBIA RD @ DORCHESTER AVE,FY2018,Weekday,4,37
137,CHARLES PARK RD @ RIVERMOOR S,FY2018,Weekday,1,22
138,MT VERNON ST @ BAY SIDE EXPO,FY2018,Weekday,6,12
139,263 MT VERNON ST @ ST CHRISTO,FY2018,Weekday,2,80
140,MT VERNON ST @ PAUL A. DEVER,FY2018,Weekday,1,82
141,ALEWIFE STATION BUSWAY,FY2018,Weekday,"2,460","2,641"
142,MT VERNON ST @ SOUTH POINT DR,FY2018,Weekday,2,125
143,BOYLSTON ST @ CLARENDON ST,FY2018,Weekday,232,183
144,BOYLSTON ST @ BERKELEY ST,FY2018,Weekday,128,27
145,ARLINGTON ST @ SAINT JAMES AV,FY2018,Weekday,199,8
146,ARLINGTON ST @ ISABELLA ST,FY2018,Weekday,61,11
147,HERALD ST @ TREMONT ST,FY2018,Weekday,79,29
148,HERALD ST @ WASHINGTON ST,FY2018,Weekday,130,61
150,BROADWAY STATION - RED LINE,FY2018,Weekday,"1,100","1,978"
151,W BROADWAY @ BROADWAY STATION,FY2018,Weekday,"1,448",375
152,W BROADWAY @ A ST,FY2018,Weekday,35,14
153,W BROADWAY @ B ST,FY2018,Weekday,32,54
154,W BROADWAY @ D ST,FY2018,Weekday,0,1
155,W BROADWAY @ E ST,FY2018,Weekday,35,194
156,W BROADWAY @ F ST,FY2018,Weekday,38,283
157,W BROADWAY @ DORCHESTER ST,FY2018,Weekday,45,263
158,442 W BROADWAY,FY2018,Weekday,244,31
159,W BROADWAY @ F ST,FY2018,Weekday,205,19
160,W BROADWAY @ E ST,FY2018,Weekday,127,12
161,W BROADWAY @ D ST,FY2018,Weekday,176,29
162,W BROADWAY @ C ST,FY2018,Weekday,41,14
163,W BROADWAY @ B ST,FY2018,Weekday,22,37
168,TREMONT ST @ APPLETON ST,FY2018,Weekday,24,22
171,BERKELEY ST @ COLUMBUS AVE,FY2018,Weekday,27,345
173,SAINT JAMES AVE @ CLARENDON S,FY2018,Weekday,105,380
174,RING RD @ BOYLSTON ST,FY2018,Weekday,46,92
175,BOYLSTON ST @ DARTMOUTH ST,FY2018,Weekday,934,699
176,DARTMOUTH ST OPP BACK BAY STA,FY2018,Weekday,288,35
177,SAINT JAMES AVE @ ARLINGTON S,FY2018,Weekday,7,1
178,SAINT JAMES AVE @ DARTMOUTH S,FY2018,Weekday,"1,454","1,531"
179,RING RD @ HUNTINGTON AVE,FY2018,Weekday,110,313
180,BAY ST @ AUCKLAND ST,FY2018,Weekday,3,6
185,MATTAPAN STATION - NORTH BUSW,FY2018,Weekday,"1,098","1,325"
187,MASSACHUSETTS AVE @ MASSACHUS,FY2018,Weekday,923,428
188,MASSACHUSETTS AVE @ MASSACHUS,FY2018,Weekday,467,876
190,CONGRESS ST @ STATE ST,FY2018,Weekday,165,123
191,CONGRESS ST @ NORTH ST,FY2018,Weekday,84,299
208,SUMMER ST @ POWERHOUSE ST,FY2018,Weekday,9,92
